"","Credit","balance_credit_acc","duration","moral","verw","hoehe","sparkont","beszeit","rate","famges","buerge","wohnzeit","verm","alter","weitkred","wohn","bishkred","beruf","pers","telef","gastarb"
"1","Good","no running account",18,"paid back previous credits at this bank","used car",1049,"not available / no savings","<= 1 year","< 20","female: divorced / living apart / married","none",">= 7 years","Car / Other",21,"no further running credits","free apartment","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"2","Good","no running account",9,"paid back previous credits at this bank","other",2799,"not available / no savings","1 <= ... < 4 years","25 <= ... < 35","male: married / widowed","none","1 <= ... < 4 years","not available / no assets",36,"no further running credits","free apartment","two or three","skilled worker / skilled employee / minor civil servant","0 to 2","no","yes"
"3","Good","no balance or debit",12,"no previous credits / paid back all previous credits","retraining",841,"< 100,- DM","4 <= ... < 7 years","25 <= ... < 35","female: divorced / living apart / married","none",">= 7 years","not available / no assets",23,"no further running credits","free apartment","one","unskilled with permanent residence","3 and more","no","yes"
"4","Good","no running account",12,"paid back previous credits at this bank","other",2122,"not available / no savings","1 <= ... < 4 years","20 <= ... < 25","male: married / widowed","none","1 <= ... < 4 years","not available / no assets",39,"no further running credits","free apartment","two or three","unskilled with permanent residence","0 to 2","no","no"
"5","Good","no running account",12,"paid back previous credits at this bank","other",2171,"not available / no savings","1 <= ... < 4 years","< 20","male: married / widowed","none",">= 7 years","Car / Other",38,"at other banks","rented flat","two or three","unskilled with permanent residence","3 and more","no","no"
"6","Good","no running account",10,"paid back previous credits at this bank","other",2241,"not available / no savings","<= 1 year",">= 35","male: married / widowed","none","4 <= ... < 7 years","not available / no assets",48,"no further running credits","free apartment","two or three","unskilled with permanent residence","0 to 2","no","no"
"7","Good","no running account",8,"paid back previous credits at this bank","other",3398,"not available / no savings","4 <= ... < 7 years",">= 35","male: married / widowed","none",">= 7 years","not available / no assets",39,"no further running credits","rented flat","two or three","unskilled with permanent residence","3 and more","no","no"
"8","Good","no running account",6,"paid back previous credits at this bank","other",1361,"not available / no savings","<= 1 year","25 <= ... < 35","male: married / widowed","none",">= 7 years","not available / no assets",40,"no further running credits","rented flat","one","unskilled with permanent residence","0 to 2","no","no"
"9","Good"," ... >= 200 DM or checking account for at least 1 year",18,"paid back previous credits at this bank","items of furniture",1098,"not available / no savings","unemployed","< 20","female: divorced / living apart / married","none",">= 7 years","Savings contract with a building society / Life insurance",65,"no further running credits","rented flat","two or three","unemployed / unskilled with no permanent residence","3 and more","no","yes"
"10","Good","no balance or debit",24,"no previous credits / paid back all previous credits","items of furniture",3758,"100,- <= ... < 500,- DM","unemployed",">= 35","female: divorced / living apart / married","none",">= 7 years","Ownership of house or land",23,"no further running credits","free apartment","one","unemployed / unskilled with no permanent residence","3 and more","no","yes"
"11","Good","no running account",11,"paid back previous credits at this bank","other",3905,"not available / no savings","1 <= ... < 4 years","25 <= ... < 35","male: married / widowed","none","1 <= ... < 4 years","not available / no assets",36,"no further running credits","free apartment","two or three","skilled worker / skilled employee / minor civil servant","0 to 2","no","yes"
"12","Good","no running account",30,"paid back previous credits at this bank","new car",6187,"< 100,- DM","4 <= ... < 7 years",">= 35","female: single","none",">= 7 years","Savings contract with a building society / Life insurance",24,"no further running credits","free apartment","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"13","Good","no running account",6,"paid back previous credits at this bank","items of furniture",1957,"not available / no savings","4 <= ... < 7 years",">= 35","female: divorced / living apart / married","none",">= 7 years","Savings contract with a building society / Life insurance",31,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"14","Good","no balance or debit",48,"no problems with current credits at this bank","business",7582,"< 100,- DM","unemployed","25 <= ... < 35","male: married / widowed","none",">= 7 years","Ownership of house or land",31,"no further running credits","rented flat","one","executive / self-employed / higher civil servant","3 and more","yes","yes"
"15","Good","no running account",18,"no previous credits / paid back all previous credits","items of furniture",1936," >= 1000,- DM","4 <= ... < 7 years","25 <= ... < 35","female: single","none",">= 7 years","Savings contract with a building society / Life insurance",23,"no further running credits","free apartment","two or three","unskilled with permanent residence","3 and more","no","yes"
"16","Good","no running account",6,"no previous credits / paid back all previous credits","items of furniture",2647,"100,- <= ... < 500,- DM","1 <= ... < 4 years","25 <= ... < 35","male: married / widowed","none","4 <= ... < 7 years","not available / no assets",44,"no further running credits","free apartment","one","skilled worker / skilled employee / minor civil servant","0 to 2","no","yes"
"17","Good","no running account",11,"paid back previous credits at this bank","other",3939,"not available / no savings","1 <= ... < 4 years",">= 35","male: married / widowed","none","1 <= ... < 4 years","not available / no assets",40,"no further running credits","rented flat","two or three","unskilled with permanent residence","0 to 2","no","yes"
"18","Good","no balance or debit",18,"no previous credits / paid back all previous credits","items of furniture",3213,"100,- <= ... < 500,- DM","<= 1 year",">= 35","female: single","none","4 <= ... < 7 years","not available / no assets",25,"no further running credits","free apartment","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"19","Good","no balance or debit",36,"paid back previous credits at this bank","items of furniture",2337,"not available / no savings",">= 7 years","< 20","male: married / widowed","none",">= 7 years","not available / no assets",36,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"20","Good"," ... >= 200 DM or checking account for at least 1 year",11,"paid back previous credits at this bank","other",7228,"not available / no savings","1 <= ... < 4 years",">= 35","male: married / widowed","none",">= 7 years","Car / Other",39,"no further running credits","rented flat","two or three","unskilled with permanent residence","3 and more","no","yes"
"21","Good","no running account",6,"paid back previous credits at this bank","other",3676,"not available / no savings","1 <= ... < 4 years",">= 35","male: married / widowed","none","4 <= ... < 7 years","not available / no assets",37,"no further running credits","free apartment","four or five","skilled worker / skilled employee / minor civil servant","0 to 2","no","yes"
"22","Good","no balance or debit",12,"paid back previous credits at this bank","other",3124,"not available / no savings","<= 1 year",">= 35","male: married / widowed","none","4 <= ... < 7 years","not available / no assets",49,"at other banks","rented flat","two or three","unskilled with permanent residence","0 to 2","no","yes"
"23","Bad","no balance or debit",36,"no previous credits / paid back all previous credits","household appliances",2384,"not available / no savings","<= 1 year","< 20","male: married / widowed","none","< 1 year","Ownership of house or land",33,"no further running credits","free apartment","one","unskilled with permanent residence","3 and more","no","yes"
"24","Good","no balance or debit",12,"paid back previous credits at this bank","radio / television",1424,"not available / no savings","4 <= ... < 7 years","< 20","male: married / widowed","none","4 <= ... < 7 years","Car / Other",26,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"25","Good","no running account",6,"paid back previous credits at this bank","other",4716," >= 1000,- DM","<= 1 year",">= 35","male: married / widowed","none","4 <= ... < 7 years","not available / no assets",44,"no further running credits","rented flat","two or three","unskilled with permanent residence","0 to 2","no","yes"
"26","Good","no balance or debit",11,"no problems with current credits at this bank","items of furniture",4771,"not available / no savings","4 <= ... < 7 years","25 <= ... < 35","male: married / widowed","none",">= 7 years","Car / Other",51,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"27","Good","no running account",12,"no previous credits / paid back all previous credits","used car",652,"not available / no savings",">= 7 years","< 20","female: divorced / living apart / married","none",">= 7 years","Car / Other",24,"no further running credits","free apartment","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"28","Good","no balance or debit",9,"paid back previous credits at this bank","items of furniture",1154,"not available / no savings",">= 7 years","25 <= ... < 35","male: married / widowed","none",">= 7 years","not available / no assets",37,"no further running credits","rented flat","four or five","unskilled with permanent residence","3 and more","no","yes"
"29","Good"," ... >= 200 DM or checking account for at least 1 year",15,"no previous credits / paid back all previous credits","other",3556," >= 1000,- DM","1 <= ... < 4 years","20 <= ... < 25","male: married / widowed","none","1 <= ... < 4 years","Ownership of house or land",29,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"30","Good","0 <= ... <= 200",42,"paid back previous credits at this bank","new car",4796,"not available / no savings",">= 7 years","< 20","male: married / widowed","none",">= 7 years","Ownership of house or land",56,"no further running credits","owner-occupied flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"31","Good","0 <= ... <= 200",30,"paid back previous credits at this bank","items of furniture",3017,"not available / no savings",">= 7 years","< 20","male: married / widowed","none",">= 7 years","Car / Other",47,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"32","Good"," ... >= 200 DM or checking account for at least 1 year",36,"paid back previous credits at this bank","other",3535,"not available / no savings","4 <= ... < 7 years","< 20","male: married / widowed","none",">= 7 years","Savings contract with a building society / Life insurance",37,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"33","Good"," ... >= 200 DM or checking account for at least 1 year",36,"paid back previous credits at this bank","other",6614,"not available / no savings",">= 7 years","< 20","male: married / widowed","none",">= 7 years","Savings contract with a building society / Life insurance",34,"no further running credits","rented flat","two or three","executive / self-employed / higher civil servant","3 and more","yes","yes"
"34","Good"," ... >= 200 DM or checking account for at least 1 year",24,"no previous credits / paid back all previous credits","items of furniture",1376,"100,- <= ... < 500,- DM","4 <= ... < 7 years","< 20","female: divorced / living apart / married","none","< 1 year","Savings contract with a building society / Life insurance",28,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"35","Good","no running account",15,"no previous credits / paid back all previous credits","other",1721,"not available / no savings","<= 1 year","25 <= ... < 35","male: married / widowed","none","4 <= ... < 7 years","not available / no assets",36,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"36","Good","no running account",6,"paid back previous credits at this bank","other",860,"not available / no savings",">= 7 years",">= 35","female: divorced / living apart / married","none",">= 7 years","Ownership of house or land",39,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"37","Good"," ... >= 200 DM or checking account for at least 1 year",12,"paid back previous credits at this bank","other",1495,"not available / no savings",">= 7 years","< 20","male: married / widowed","none","< 1 year","not available / no assets",38,"no further running credits","rented flat","two or three","unskilled with permanent residence","0 to 2","no","yes"
"38","Good"," ... >= 200 DM or checking account for at least 1 year",12,"paid back previous credits at this bank","items of furniture",1934,"not available / no savings",">= 7 years","25 <= ... < 35","male: married / widowed","none","1 <= ... < 4 years","Ownership of house or land",26,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"39","Good"," ... >= 200 DM or checking account for at least 1 year",18,"no previous credits / paid back all previous credits","new car",3378," >= 1000,- DM","1 <= ... < 4 years","25 <= ... < 35","male: married / widowed","none","< 1 year","Car / Other",31,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"40","Good"," ... >= 200 DM or checking account for at least 1 year",24,"paid back previous credits at this bank","new car",3868,"not available / no savings",">= 7 years","< 20","female: divorced / living apart / married","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",41,"no further running credits","free apartment","two or three","executive / self-employed / higher civil servant","3 and more","yes","yes"
"41","Good"," ... >= 200 DM or checking account for at least 1 year",12,"paid back previous credits at this bank","household appliances",996," >= 1000,- DM","4 <= ... < 7 years","< 20","female: divorced / living apart / married","none",">= 7 years","not available / no assets",23,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"42","Good","no running account",24,"no previous credits / paid back all previous credits","business",1755,"not available / no savings",">= 7 years","< 20","female: divorced / living apart / married","Guarantor",">= 7 years","not available / no assets",58,"no further running credits","rented flat","one","unskilled with permanent residence","3 and more","yes","yes"
"43","Good"," ... >= 200 DM or checking account for at least 1 year",18,"paid back previous credits at this bank","other",1028,"not available / no savings","1 <= ... < 4 years","< 20","female: divorced / living apart / married","none","4 <= ... < 7 years","not available / no assets",36,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"44","Good","no balance or debit",24,"paid back previous credits at this bank","retraining",2825," >= 1000,- DM","4 <= ... < 7 years","< 20","male: married / widowed","none","4 <= ... < 7 years","Ownership of house or land",34,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","0 to 2","yes","yes"
"45","Good","no balance or debit",18,"no previous credits / paid back all previous credits","repair",1239," >= 1000,- DM","1 <= ... < 4 years","< 20","male: married / widowed","none",">= 7 years","Ownership of house or land",61,"no further running credits","owner-occupied flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"46","Bad","no running account",18,"no previous credits / paid back all previous credits","other",1216,"not available / no savings","<= 1 year","< 20","female: divorced / living apart / married","none","4 <= ... < 7 years","Savings contract with a building society / Life insurance",23,"no further running credits","free apartment","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"47","Good"," ... >= 200 DM or checking account for at least 1 year",24,"no previous credits / paid back all previous credits","retraining",1258,"not available / no savings","4 <= ... < 7 years","< 20","male: married / widowed","none","< 1 year","not available / no assets",25,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"48","Bad"," ... >= 200 DM or checking account for at least 1 year",18,"paid back previous credits at this bank","repair",1864,"< 100,- DM","1 <= ... < 4 years","< 20","female: divorced / living apart / married","none","1 <= ... < 4 years","not available / no assets",30,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"49","Good"," ... >= 200 DM or checking account for at least 1 year",24,"no previous credits / paid back all previous credits","other",1474,"< 100,- DM","<= 1 year","< 20","female: single","none","4 <= ... < 7 years","not available / no assets",33,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"50","Good","no running account",24,"paid back previous credits at this bank","retraining",1382,"< 100,- DM","4 <= ... < 7 years","< 20","male: married / widowed","none","< 1 year","not available / no assets",26,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"51","Good"," ... >= 200 DM or checking account for at least 1 year",12,"no previous credits / paid back all previous credits","other",640,"not available / no savings","1 <= ... < 4 years","< 20","male: divorced / living apart","none","1 <= ... < 4 years","not available / no assets",49,"no further running credits","rented flat","one","unskilled with permanent residence","3 and more","no","yes"
"52","Good","0 <= ... <= 200",36,"no previous credits / paid back all previous credits","items of furniture",3919,"not available / no savings","1 <= ... < 4 years","25 <= ... < 35","male: married / widowed","none","1 <= ... < 4 years","not available / no assets",23,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"53","Good"," ... >= 200 DM or checking account for at least 1 year",9,"paid back previous credits at this bank","other",1224,"not available / no savings","1 <= ... < 4 years","20 <= ... < 25","male: married / widowed","none","< 1 year","not available / no assets",30,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"54","Good"," ... >= 200 DM or checking account for at least 1 year",12,"paid back previous credits at this bank","items of furniture",2331," >= 1000,- DM",">= 7 years",">= 35","male: married / widowed","Co-Applicant",">= 7 years","not available / no assets",49,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"55","Good"," ... >= 200 DM or checking account for at least 1 year",24,"no previous credits / paid back all previous credits","new car",6313," >= 1000,- DM",">= 7 years","20 <= ... < 25","male: married / widowed","none",">= 7 years","Savings contract with a building society / Life insurance",41,"no further running credits","rented flat","one","executive / self-employed / higher civil servant","0 to 2","yes","yes"
"56","Good","no running account",12,"paid back previous credits at this bank","items of furniture",385,"not available / no savings","4 <= ... < 7 years","< 20","female: divorced / living apart / married","none","4 <= ... < 7 years","not available / no assets",58,"no further running credits","rented flat","six or more","unskilled with permanent residence","3 and more","yes","yes"
"57","Good"," ... >= 200 DM or checking account for at least 1 year",12,"paid back previous credits at this bank","items of furniture",1655,"not available / no savings",">= 7 years","25 <= ... < 35","male: married / widowed","none",">= 7 years","not available / no assets",63,"no further running credits","rented flat","two or three","unskilled with permanent residence","3 and more","yes","yes"
"58","Good","no running account",15,"no previous credits / paid back all previous credits","items of furniture",1053,"not available / no savings","<= 1 year","< 20","female: single","none","1 <= ... < 4 years","not available / no assets",27,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","no"
"59","Good"," ... >= 200 DM or checking account for at least 1 year",21,"no previous credits / paid back all previous credits","items of furniture",3160," >= 1000,- DM",">= 7 years","< 20","male: married / widowed","none","4 <= ... < 7 years","Car / Other",41,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"60","Good"," ... >= 200 DM or checking account for at least 1 year",36,"no previous credits / paid back all previous credits","other",3079," >= 1000,- DM","1 <= ... < 4 years","< 20","male: married / widowed","none",">= 7 years","not available / no assets",36,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"61","Good"," ... >= 200 DM or checking account for at least 1 year",12,"paid back previous credits at this bank","other",1163,"100,- <= ... < 500,- DM","1 <= ... < 4 years","< 20","male: married / widowed","none",">= 7 years","not available / no assets",44,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"62","Good"," ... >= 200 DM or checking account for at least 1 year",24,"no previous credits / paid back all previous credits","new car",2679,"not available / no savings","<= 1 year","< 20","female: divorced / living apart / married","none","< 1 year","Ownership of house or land",29,"no further running credits","rented flat","one","executive / self-employed / higher civil servant","3 and more","yes","yes"
"63","Good"," ... >= 200 DM or checking account for at least 1 year",48,"paid back previous credits at this bank","items of furniture",3578," >= 1000,- DM",">= 7 years","< 20","male: married / widowed","none","< 1 year","not available / no assets",47,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"64","Good"," ... >= 200 DM or checking account for at least 1 year",36,"no problems with current credits at this bank","other",10875,"not available / no savings",">= 7 years","25 <= ... < 35","male: married / widowed","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",45,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","0 to 2","yes","yes"
"65","Good","no running account",12,"no problems with current credits at this bank","other",1344,"not available / no savings","1 <= ... < 4 years","< 20","male: married / widowed","none","1 <= ... < 4 years","not available / no assets",43,"no further running credits","rented flat","two or three","unskilled with permanent residence","0 to 2","no","yes"
"66","Good"," ... >= 200 DM or checking account for at least 1 year",6,"paid back previous credits at this bank","items of furniture",1237,"< 100,- DM","1 <= ... < 4 years",">= 35","female: divorced / living apart / married","none","< 1 year","Car / Other",27,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"67","Good"," ... >= 200 DM or checking account for at least 1 year",12,"no previous credits / paid back all previous credits","items of furniture",3077,"not available / no savings","1 <= ... < 4 years","25 <= ... < 35","male: married / widowed","none",">= 7 years","Savings contract with a building society / Life insurance",52,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"68","Good"," ... >= 200 DM or checking account for at least 1 year",24,"no previous credits / paid back all previous credits","items of furniture",2284,"not available / no savings","4 <= ... < 7 years","< 20","male: married / widowed","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",28,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"69","Good","no balance or debit",12,"no previous credits / paid back all previous credits","items of furniture",1567,"not available / no savings","1 <= ... < 4 years",">= 35","female: divorced / living apart / married","none","< 1 year","Savings contract with a building society / Life insurance",22,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"70","Good"," ... >= 200 DM or checking account for at least 1 year",24,"no problems with current credits at this bank","other",2032,"not available / no savings",">= 7 years","< 20","male: married / widowed","none",">= 7 years","Ownership of house or land",60,"no further running credits","owner-occupied flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"71","Good","no balance or debit",21,"paid back previous credits at this bank","used car",2745,"500,- <= ... < 1000,- DM","4 <= ... < 7 years","20 <= ... < 25","male: married / widowed","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",32,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"72","Good"," ... >= 200 DM or checking account for at least 1 year",30,"no previous credits / paid back all previous credits","items of furniture",1867," >= 1000,- DM",">= 7 years","< 20","male: married / widowed","none",">= 7 years","Savings contract with a building society / Life insurance",58,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"73","Good"," ... >= 200 DM or checking account for at least 1 year",36,"no previous credits / paid back all previous credits","items of furniture",2299,"100,- <= ... < 500,- DM",">= 7 years","< 20","male: married / widowed","none",">= 7 years","Savings contract with a building society / Life insurance",39,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
